"","word","delta"
"1","data",814
"2","science",168
"3","experience",143
"4","analytics",117
"5","learning",92
"6","statistical",87
"7","business",83
"8","machine",78
"9","python",75
"10","analysis",74
"11","insights",69
"12","models",68
"13","people",67
"14","technology",65
"15","sql",64
"16","statistics",55
"17","quantitative",54
"18","techniques",51
"19","systems",50
"20","computer",48
"21","technical",48
"22","scientist",47
"23","engineering",47
"24","complex",45
"25","health",45
"26","r",43
"27","solutions",43
"28","using",42
"29","analytical",41
"30","tools",39
"31","visualization",39
"32","databases",39
"33","make",39
"34","problems",38
"35","teams",38
"36","use",37
"37","healthcare",37
"38","impact",37
"39","advanced",35
"40","building",34
"41","build",33
"42","programming",33
"43","large",32
"44","degree",31
"45","technologies",31
"46","field",30
"47","modeling",30
"48","mathematics",28
"49","etc",28
"50","testing",28
"51","help",27
"52","reporting",27
"53","scientists",27
"54","code",26
"55","cloud",26
"56","develop",25
"57","working",25
"58","sources",24
"59","improve",24
"60","engineers",24
"61","predictive",24
"62","big",24
"63","deep",23
"64","areas",23
"65","tableau",23
"66","implement",23
"67","packages",23
"68","datasets",23
"69","algorithms",23
"70","analyze",22
"71","ai",22
"72","expertise",22
"73","trading",22
"74","users",22
"75","agile",22
"76","role",21
"77","infrastructure",21
"78","experimentation",21
"79","value",20
"80","economics",19
"81","optimize",19
"82","deloitte",19
"83","data-driven",18
"84","understanding",18
"85","world",18
"86","etl",18
"87","pipelines",18
"88","optimization",18
"89","intelligence",18
"90","identify",17
"91","sets",17
"92","+",17
"93","passion",17
"94","information",17
"95","significant",17
"96","scale",17
"97","methods",17
"98","spark",17
"99","solving",16
"100","knowledge",16
"101","ml",16
"102","mining",16
"103","architecture",16
"104","preferred",16
"105","communities",16
"106","approaches",16
"107","helping",15
"108","innovation",15
"109","stakeholders",15
"110","capabilities",15
"111","software",15
"112","hands-on",15
"113","transform",14
"114","similar",14
"115","workday",14
"116","us",14
"117","methodologies",14
"118","e.g",14
"119","model",14
"120","2",14
"121","dashboards",14
"122","senior",14
"123","aws",14
"124","together",14
"125","computing",14
"126","analytic",14
"127","segmentation",14
"128","sleep",14
"129","bi",14
"130","patterns",13
"131","system",13
"132","better",13
"133","used",13
"134","work",13
"135","organizations",13
"136","languages",13
"137","sas",13
"138","collaboration",13
"139","power",13
"140","vision",13
"141","c",13
"142","outcomes",13
"143","change",13
"144","cvs",13
"145","analyzing",13
"146","aclu",13
"147","justice",13
"148","analyst",12
"149","can",12
"150","diverse",12
"151","practical",12
"152","products",12
"153","applied",12
"154","database",12
"155","solve",12
"156","amounts",12
"157","optimizing",12
"158","experiments",12
"159","integration",12
"160","interpret",11
"161","regarding",11
"162","workplace",11
"163","leaders",11
"164","specific",11
"165","platform",11
"166","ongoing",11
"167","master's",11
"168","features",11
"169","actionable",11
"170","recommendations",11
"171","meaningful",11
"172","members",11
"173","domain",11
"174","hadoop",11
"175","provider",11
"176","applications",11
"177","behavioral",11
"178","collect",11
"179","visualizations",11
"180","citiustech",11
"181","uri",11
"182","etsy",10
"183","high",10
"184","opportunity",10
"185","risk",10
"186","new",10
"187","real-world",10
"188","passionate",10
"189","developing",10
"190","pandas",10
"191","series",10
"192","behavior",10
"193","students",10
"194","deliver",10
"195","queries",10
"196","sciences",10
"197","physics",10
"198","familiarity",10
"199","b",10
